SubNumber,Race,B1Lshow,B1Ltime,B1Ttries,B1Tshow,B1Tresp,B1Ttime,B2Lshow,B2Ltime,B2Ttries,B2Tshow,B2Tresp,B2Ttime,B3Lshow,B3Ltime,B3Ttries,B3Tshow,B3Tresp,B3Ttime,B4Lshow,B4Ltime,B4Ttries,B4Tshow,B4Tresp,B4Ttime,Completion
2001,Black,1_2,7534,2,2_1|1_2,2_3|1_2,9136,5_1_2,4376,4,2_1_5|2_1_5|5_1_2|2_5_1,2_3_5|1_1_5|2_2_2|2_5_1,29466,5_1_4_2,4481,5,4_2_5_1|1_4_2_5|4_2_5_1|4_5_2_1|4_5_2_1,2_2_5_1|2_2_3_5|2_2_5_4|1_5_1_2|4_5_2_1,45050,1_5_3_2_4,4325,2,5_3_4_2_1|3_4_2_1_5,5_3_1_2_4|3_4_2_1_5,16995,normal
2004,Black,4_1,3850,1,4_1,4_1,3536,1_3_4,8075,3,1_4_3|3_4_1|4_1_3,4_4_3|3_1_3|4_1_3,23867,5_3_4_1,7175,6,4_3_1_5|3_1_5_4|4_3_5_1|3_1_5_4|4_5_3_1|4_3_5_1,3_1_3_3|1_1_5_4|4_5_5_1|5_5_5_4|4_5_1_1|4_3_5_1,58853,3_5_2_1_4,10578,4,1_3_5_4_2|4_1_3_5_2|1_4_3_2_5|1_5_4_2_3,2_3_5_4_2|1_3_3_5_2|4_4_3_2_5|1_5_4_2_3,29231,normal
2010,Asian,2_3,4542,1,3_2,3_2,3411,2_5_3,3711,2,3_2_5|2_5_3,3_5_5|2_5_3,23913,3_5_2_1,4217,1,5_2_1_3,5_2_1_3,19093,3_1_2_5_4,4080,16,2_1_3_5_4|3_4_2_1_5|3_1_2_4_5|1_4_3_2_5|4_1_2_3_5|1_2_4_3_5|5_4_3_1_2|4_1_5_2_3|1_5_2_4_3|3_1_5_4_2|3_2_1_5_4|3_5_4_1_2|1_3_5_4_2|1_3_4_2_5|1_4_5_3_2|1_4_3_5_2,3_3_2_5_4|2_2_2_1_3|3_4_4_5_5|3_4_3_2_5|3_3_3_3_5|3_3_3_4_5|5_2_2_2_2|1_1_2_2_3|1_5_4_4_3|3_4_5_4_2|3_1_1_5_4|3_5_4_2_2|2_2_5_4_2|3_3_2_2_5|1_3_5_3_2|1_4_3_5_2,273122,Incomplete
2013,Asian,4_1,5549,3,1_4|1_4|4_1,4_4|4_4|4_1,16473,1_4_5,3141,1,1_4_5,1_4_5,2899,2_5_4_1,6030,2,5_4_2_1|4_2_5_1,2_2_2_5|4_2_5_1,34692,4_3_1_5_2,7718,11,3_4_5_2_1|1_3_2_5_4|3_5_4_1_2|3_4_2_5_1|3_5_4_1_2|1_2_5_3_4|5_4_3_1_2|1_3_5_2_4|5_2_4_3_1|5_4_1_2_3|3_4_1_5_2,3_4_5_1_1|1_3_4_4_1|3_1_4_1_4|3_1_3_4_1|5_2_1_1_4|1_2_3_3_4|3_4_5_1_2|1_5_3_1_4|3_1_4_1_1|4_3_1_2_4|3_4_1_5_2,239194,normal
2014,Black,2_4,8960,1,2_4,2_4,3052,2_5_4,7715,3,5_2_4|2_5_4|2_4_5,4_2_5|4_5_5|2_4_5,25890,5_4_1_2,9199,1,1_5_4_2,1_5_4_2,5378,2_5_3_4_1,9671,1,5_1_3_2_4,5_1_3_2_4,7140,normal
2018,White,5_4,8169,1,4_5,4_5,4046,3_5_4,3629,4,4_3_5|3_4_5|3_5_4|3_4_5,5_3_5|3_5_4|3_4_4|3_4_5,31844,4_3_5_1,11487,3,3_1_5_4|1_5_3_4|1_3_5_4,3_4_5_4|3_3_3_4|1_3_5_4,29358,1_4_2_5_3,15416,3,4_2_3_1_5|4_1_3_5_2|4_2_3_5_1,5_2_3_4_5|5_1_3_2_2|4_2_3_5_1,48137,normal
2021,White,4_3,5064,1,4_3,4_3,3235,1_4_3,3783,1,1_4_3,1_4_3,5833,3_1_2_4,3254,5,3_2_1_4|2_1_4_3|1_3_4_2|1_2_3_4|1_3_2_4,3_1_3_4|2_3_4_2|2_4_2_2|4_2_3_4|1_3_2_4,63790,1_3_2_5_4,6377,5,3_4_1_5_2|2_1_4_5_3|5_2_1_3_4|4_2_3_5_1|3_1_4_2_5,2_1_2_5_4|4_1_3_3_2|2_2_1_4_3|2_5_1_5_1|3_1_4_2_5,79949,normal
2022,White,5_2,7457,1,5_2,5_2,2833,4_2_5,7498,1,2_4_5,2_4_5,6623,4_3_2_5,8445,1,4_2_3_5,4_2_3_5,9770,3_5_2_4_1,16907,2,4_1_2_5_3|4_3_2_1_5,3_3_3_3_3|4_3_2_1_5,44022,normal
2023,Black,3_4,10922,2,3_4|3_4,4_4|3_4,10964,1_4_3,7740,8,4_3_1|3_4_1|3_1_4|3_1_4|1_4_3|4_1_3|4_3_1|4_3_1,3_3_1|1_3_1|2_4_4|3_4_4|1_3_3|1_3_4|3_3_1|4_3_1,87246,2_3_4_1,11254,6,2_3_1_4|1_3_4_2|3_2_4_1|1_4_3_2|2_1_4_3|1_4_2_3,2_3_4_4|4_3_2_1|2_2_3_4|3_3_3_2|2_3_3_3|1_4_2_3,79123,5_3_4_2_1,14995,10,4_5_2_1_3|4_3_2_5_1|4_3_2_1_5|4_5_3_1_2|3_1_5_2_4|1_4_3_2_5|1_4_5_2_3|5_4_2_1_3|1_4_5_3_2|5_1_2_3_4,3_1_3_4_5|2_3_4_1_4|2_3_2_1_5|3_5_3_2_1|3_2_5_2_4|2_3_3_5_5|1_2_5_3_3|5_2_3_1_3|1_2_5_3_2|5_1_2_3_4,6993832,normal
2024,Asian,3_1,24488,1,1_3,1_3,5802,1_3_4,18756,1,4_3_1,4_3_1,6259,1_3_5_4,7261,1,4_3_1_5,4_3_1_5,12429,5_3_4_1_2,19558,4,4_5_3_1_2|2_4_5_3_1|2_1_5_4_3|5_3_1_2_4,4_2_3_2_2|2_1_5_2_1|2_1_5_4_2|5_3_1_2_4,75844,normal
2025,Black,4_3,6039,1,4_3,4_3,4399,4_3_1,5721,1,3_4_1,3_4_1,7018,4_1_5_3,7515,1,1_3_5_4,1_3_5_4,11053,2_1_5_4_3,5269,3,5_4_1_3_2|5_2_4_1_3|5_1_3_2_4,5_4_3_3_2|5_2_4_3_3|5_1_3_2_4,35089,normal
2026,White,3_5,3511,1,3_5,3_5,1640,3_5_1,3123,1,3_1_5,3_1_5,3170,5_1_4_3,5134,6,3_5_4_1|3_1_4_5|4_5_3_1|3_1_4_5|4_3_5_1|5_3_1_4,3_5_1_1|3_5_4_5|3_5_3_1|3_4_4_5|3_3_5_1|5_3_1_4,42324,5_3_1_4_2,11228,1,3_1_4_2_5,3_1_4_2_5,7593,normal
2027,Black,4_3,8320,1,3_4,3_4,3907,4_3_5,12235,1,4_5_3,4_5_3,6271,3_5_1_4,5917,3,3_1_4_5|4_5_1_3|3_1_4_5,3_5_3_5|3_1_1_3|3_1_4_5,67564,1_5_4_2_3,11244,8,3_4_2_5_1|4_5_2_3_1|4_3_2_1_5|3_5_1_2_4|4_3_5_2_1|3_1_2_5_4|3_1_4_2_5|3_1_4_2_5,3_1_5_5_2|2_5_4_2_3|4_2_3_1_5|2_5_1_2_4|3_2_5_2_1|3_4_4_5_4|3_1_2_3_5|3_1_4_2_5,225708,normal
2028,Black,2_5,10207,1,5_2,5_2,3219,2_5_1,4853,1,2_5_1,2_5_1,4282,3_1_2_5,8888,1,3_1_2_5,3_1_2_5,8279,1_4_3_2_5,10016,12,4_1_3_5_2|5_3_1_4_2|1_5_3_2_4|5_3_1_2_4|3_1_2_4_5|5_4_2_1_3|3_5_4_1_2|3_5_2_1_4|5_3_1_2_4|4_3_1_5_2|4_5_2_1_3|3_4_2_5_1,1_4_5_5_2|5_4_4_4_2|3_5_4_2_1|5_3_4_2_4|1_3_2_4_5|5_1_2_3_1|3_5_1_1_2|3_4_2_1_4|5_1_3_2_3|4_1_1_5_2|4_5_3_3_3|3_4_2_5_1,212133,normal
2030,Black,1_4,4280,2,4_1|1_4,4_4|1_4,10106,4_2_1,3890,1,4_2_1,4_2_1,3708,1_4_5_2,4769,1,4_5_1_2,4_5_1_2,4756,4_5_2_3_1,4669,14,5_2_4_3_1|5_1_2_3_4|5_3_2_4_1|5_4_1_2_3|3_2_1_4_5|2_5_3_1_4|4_5_3_2_1|3_4_2_1_5|1_3_4_2_5|5_2_4_1_3|2_4_3_1_5|5_1_3_4_2|4_2_3_5_1|5_3_4_1_2,5_4_4_1_3|5_4_3_5_4|5_1_4_3_2|5_4_3_2_1|3_4_3_5_5|4_5_5_1_4|4_5_2_4_1|1_4_3_1_5|2_3_4_1_5|5_4_4_1_3|3_4_5_1_5|5_1_2_4_2|2_3_1_5_1|5_3_4_1_2,166382,normal
2036,White,2_1,5285,2,1_2|2_1,2_2|2_1,12642,2_1_5,6015,6,5_2_1|2_5_1|1_2_5|1_5_2|1_5_2|1_2_5,5_1_1|1_5_2|1_5_5|2_5_2|2_5_2|1_2_5,57436,1_5_3_2,10871,3,5_3_1_2|3_5_2_1|5_2_1_3,5_2_2_2|3_5_1_1|5_2_1_3,36733,5_4_3_2_1,17496,1,2_5_1_4_3,2_5_1_4_3,8783,normal
2043,Asian,4_1,5270,1,1_4,1_4,2784,2_1_4,3471,1,2_1_4,2_1_4,3011,1_2_4_5,3859,5,2_5_1_4|1_2_5_4|5_4_1_2|2_5_4_1|2_1_4_5,1_4_1_4|2_1_5_1|5_1_2_4|4_5_2_2|2_1_4_5,69834,3_2_5_1_4,11336,11,4_5_1_3_2|3_4_1_5_2|3_4_2_1_5|2_1_3_5_4|5_2_4_1_3|5_4_2_3_1|5_1_2_3_4|5_4_3_1_2|5_4_3_2_1|3_5_4_1_2|3_4_1_2_5,3_3_2_4_1|5_2_1_2_2|3_4_1_1_5|3_1_3_2_2|5_3_1_3_2|5_3_2_3_1|5_4_4_2_4|5_1_1_2_4|5_4_1_2_1|5_5_4_1_2|3_4_1_2_5,131491,normal
2044,Asian,1_3,5136,4,3_1|1_3|3_1|3_1,1_1|3_3|1_3|3_1,24205,3_1_2,10970,5,2_3_1|1_3_2|3_2_1|2_3_1|2_3_1,2_1_1|2_3_2|1_2_1|2_1_1|2_3_1,31366,3_1_4_2,9037,2,4_1_3_2|4_2_1_3,2_3_1_2|4_2_1_3,29221,3_5_4_2_1,21371,1,5_1_2_3_4,5_1_2_3_4,17599,normal
