Subject,ACC_congruent,ACC_incongruent,RT_congruent,RT_incongruent,SD,ACC_Total,D,ACC_congruent_1,ACC_congruent_2,ACC_incongruent_1,ACC_incongruent_2,RT_congruent_1,RT_congruent_2,RT_incongruent_1,RT_incongruent_2
2001,0.9,0.6,2597.388889,3388.416667,1089.399772,0.75,0.726113405,0.9,0.9,0.5,0.7,2378.338889,2816.438889,2943.408333,3833.425
2004,0.95,0.8,2661.526316,2915.75,1265.040818,0.875,0.200960855,1,0.9,0.7,0.9,2816.3,2506.752632,3081.525,2749.975
2010,0.95,0.95,2682.526316,3855.30117,1438.050825,0.95,0.815530879,1,0.9,1,0.9,2528.3,2836.752632,3426.888889,4240.872222
2013,1,1,2007.35,2147.25,717.4484418,1,0.19499659,1,1,1,1,1659.9,2354.8,2295.1,1999.4
2014,1,1,2263.45,2455.8,675.4503412,1,0.28477297,1,1,1,1,2275.9,2251,2231.6,2680
2018,1,0.65,2159.4,3535.153846,1193.773686,0.825,1.152441088,1,1,0.7,0.6,2286.7,2032.1,3376.646154,3693.661538
2021,0.95,1,2412.368421,2939.9,956.8006503,0.975,0.55134952,1,0.9,1,1,2629.9,2194.836842,2928.9,2950.9
2022,0.65,0.55,3123.461538,4115.363636,1139.816129,0.6,0.870229919,0.9,0.4,0.7,0.4,2830.746154,3416.176923,4021.109091,4209.618182
2023,0.75,0.8,3008.180451,4035.346154,1447.363115,0.775,0.709680724,0.7,0.8,0.9,0.7,2917.885714,3108.507937,4350.205128,3630.527473
2024,0.95,0.85,2754.745614,4497.922601,1665.765158,0.9,1.046472234,1,0.9,0.8,0.9,2545.5,2987.240741,4791.196078,4233.976471
2025,0.85,0.95,2403.486842,3592.745614,1380.868155,0.9,0.861239915,0.8,0.9,1,0.9,2617.722222,2210.675,4030.3,3106.574074
2026,1,0.95,2509.789474,3852.30117,1337.737048,0.975,1.003569198,1,1,0.9,1,2437.1,2590.555556,3508.635802,4161.6
2027,0.95,0.9,2377.947368,3100.055556,785.4756558,0.925,0.919325993,0.9,1,0.8,1,2475.094737,2280.8,3418.111111,2782
2028,0.9,0.9,2383,3602.277778,1586.413457,0.9,0.768575035,0.9,0.9,0.8,1,2517.4,2248.6,2860.355556,4344.2
2030,1,1,2752.3,3667.3,929.8264023,1,0.984054655,1,1,1,1,3040.1,2464.5,3301.9,4032.7
2036,0.7,0.85,3385.857143,4198.236842,1383.943093,0.775,0.587003688,0.8,0.6,0.8,0.9,3036.671429,3735.042857,3651.3,4805.944444
2043,0.9,0.95,2561.722222,3170.315789,1539.873097,0.925,0.395223196,0.8,1,1,0.9,2667.444444,2456,2495.6,3845.031579
2044,0.75,0.75,2629.404762,2688.358974,854.0359325,0.75,0.069030131,0.9,0.6,0.9,0.6,2562.896825,2695.912698,2410.069231,3036.221154
2045,0.95,1,3129.412281,3790.882353,1331.623208,0.975,0.49673967,1,0.9,1,1,3634,2675.283333,4335.5,3306.777778
2046,0.7,0.75,2291.714286,2513.066667,751.9655365,0.725,0.294365061,0.8,0.6,0.8,0.7,2510.242857,2073.185714,2481.013333,2545.12
2049,0.9,0.9,3340.611111,3656.916667,1653.840002,0.9,0.191255233,0.9,0.9,0.8,1,3465.161111,3216.061111,4170.833333,3143
2050,0.8,0.85,3153.5,3611.588235,1331.509481,0.825,0.344036781,0.8,0.8,0.9,0.8,3247.5,3059.5,3366.858824,3856.317647
2052,0.9,1,2495.388889,2989.85,1075.104082,0.95,0.459919295,0.9,0.9,1,1,2304.538889,2686.238889,2591.8,3387.9
