Subject,ACC_congruent,ACC_incongruent,RT_congruent,RT_incongruent,SD,ACC_Total,Subject,D,ACC_congruent_Chinese,ACC_congruent_Other,ACC_incongruent_Chinese,ACC_incongruent_Other,RT_congruent_Chinese,RT_congruent_Other,RT_incongruent_Chinese,RT_incongruent_Other,SD_Chinese,SD_Other,D_pro_Chinese,D_anti_Other,ACC_pleasant_Chinese,ACC_pleasant_Other,ACC_unpleasant_Chinese,ACC_unpleasant_Other,RT_pleasant_Chinese,RT_pleasant_Other,RT_unpleasant_Chinese,RT_unpleasant_Other,SD_pleasant,SD_unpleasant,D_pleasant,D_unpleasant
2001,0.9,1,1898.166667,1770.7,641.2736967,0.95,2001,-0.198771082,1,0.8,1,1,1639.3,2157.033333,1816.2,1725.2,434.671912,794.4855706,0.406973616,0.543538296,1,1,1,0.8,1639.3,1725.2,1816.2,2157.033333,483.6273984,749.3028965,-0.177616074,-0.45486723
2004,0.7,0.45,1764.071429,1728.333333,528.3035997,0.575,2004,-0.06764689,0.6,0.8,0.3,0.6,1763.628571,1764.514286,1689.933333,1766.733333,603.3955082,456.0908681,-0.122134217,-0.004865363,0.6,0.6,0.3,0.8,1763.628571,1766.733333,1689.933333,1764.514286,518.2926714,550.9206182,-0.005990364,-0.135375134
2013,1,0.95,1605.55,1996.210526,689.7079013,0.975,2013,0.566414457,1,1,0.9,1,1589.8,1621.3,2311.821053,1680.6,858.1324359,438.9931632,0.841386507,-0.13508183,1,1,0.9,1,1589.8,1680.6,2311.821053,1621.3,504.6830793,814.8228542,-0.179914889,0.847449294
2014,0.85,0.75,2104,3039.6,928.1289864,0.8,2014,1.008049542,0.9,0.8,0.6,0.9,2221.5,1986.5,2709.94,3369.26,765.5971275,1076.269245,0.637985675,-1.284771451,0.9,0.9,0.6,0.8,2221.5,3369.26,2709.94,1986.5,1086.476857,694.6330069,-1.056405382,1.041470809
2018,1,1,2108.1,2150.9,1197.990154,1,2018,0.035726504,1,1,1,1,2478.4,1737.8,2124.4,2177.4,1580.957751,619.8866959,-0.223914902,-0.709161856,1,1,1,1,2478.4,2177.4,2124.4,1737.8,1602.079501,544.3981612,0.187880814,0.710142002
2021,0.95,0.9,1516.052632,1935.222222,611.7250412,0.925,2021,0.685225489,0.9,1,0.8,1,1599.905263,1432.2,1855.044444,2015.4,495.593704,722.8346684,0.514815219,-0.806823504,0.9,1,0.8,1,1599.905263,2015.4,1855.044444,1432.2,735.5979971,461.3509859,-0.564839408,0.916535257
2022,0.9,0.95,1861.722222,2274.210526,594.1087438,0.925,2022,0.694297649,0.9,0.9,1,0.9,1747.772222,1975.672222,2063.8,2484.621053,436.6315806,691.7274205,0.723785891,-0.735765007,0.9,0.9,1,0.9,1747.772222,2484.621053,2063.8,1975.672222,781.3173419,330.3839443,-0.943085211,0.266743525
2023,0.75,0.65,2439.6,1732.384615,827.2418286,0.7,2023,-0.85490767,0.6,0.9,0.6,0.7,2404.24,2474.96,1955.153846,1509.615385,790.3108294,872.6962922,-0.568239909,1.106163306,0.6,0.7,0.6,0.9,2404.24,1509.615385,1955.153846,2474.96,861.9795195,791.579385,1.037872241,-0.656669645
2024,0.9,0.95,2643.222222,2580.157895,931.7391614,0.925,2024,-0.06768453,0.8,1,1,0.9,2804.644444,2481.8,2465.3,2695.015789,1086.552835,774.7444458,-0.312312879,-0.275207897,0.8,0.9,1,1,2804.644444,2695.015789,2465.3,2481.8,908.4075352,957.3864905,0.120682239,-0.017234419
2025,0.9,0.9,2133.722222,3024.523392,864.7339115,0.9,2025,1.030144832,0.9,0.9,1,0.8,2036.472222,2230.972222,3052.4,2993.549383,909.721561,838.9333371,1.11674585,-0.908984215,0.9,0.8,1,0.9,2036.472222,2993.549383,3052.4,2230.972222,823.0336066,917.5894142,-1.162865225,0.89520189
2026,0.9,1,4059.388889,4035.294118,1708.16481,0.95,2026,-0.014105648,0.9,0.9,1,1,4006.738889,4112.038889,4052.666667,4015.75,1858.823024,1587.310142,0.024707988,0.060661673,0.9,1,1,0.9,4006.738889,4015.75,4052.666667,4112.038889,1672.914106,1785.985202,-0.005386476,-0.033243401
2027,0.95,0.9,1973.105263,2391.944444,652.0524073,0.925,2027,0.642339752,0.9,1,1,0.8,2115.610526,1830.6,2412.4,2371.488889,620.6153461,688.1728019,0.478218071,-0.7859783,0.9,0.8,1,1,2115.610526,2371.488889,2412.4,1830.6,760.7275956,534.9538593,-0.336360037,1.087570432
2028,0.95,1,1770.052632,3420.95,1446.450466,0.975,2028,1.141343867,0.9,1,1,1,1863.405263,1676.7,2590.2,4251.7,861.6162633,1807.203731,0.843524859,-1.424853189,0.9,1,1,1,1863.405263,4251.7,2590.2,1676.7,1736.421326,911.0104555,-1.375412004,1.002732729
2030,1,0.95,2638.5,3357.789474,1183.10831,0.975,2030,0.607965871,1,1,0.9,1,2525,2752,3366.578947,3349,1005.412816,1362.547517,0.83704816,-0.438149857,1,1,0.9,1,2525,3349,3366.578947,2752,1221.322148,1172.033556,-0.674678668,0.524369754
2036,0.85,0.8,3770.764706,3084.6875,1002.783534,0.825,2036,-0.684172788,0.8,0.9,0.8,0.8,3550.352941,3991.176471,2610.0375,3559.3375,956.2261883,946.2754498,-0.983360896,0.456356519,0.8,0.8,0.8,0.9,3550.352941,3559.3375,2610.0375,3991.176471,900.6381957,1104.040736,-0.009975769,-1.250985517
2043,0.7,0.8,2332.142857,2771.315789,905.743078,0.75,2043,0.484875836,0.8,0.6,0.7,0.9,2476.028571,2188.257143,2990.444444,2574.1,1091.461523,673.3385964,0.471309214,-0.573029467,0.8,0.9,0.7,0.6,2476.028571,2574.1,2990.444444,2188.257143,687.7278636,1109.792104,-0.142602087,0.722826643
2044,1,0.9,2883.8,3143.555556,1336.220091,0.95,2044,0.194395787,1,1,0.9,0.9,2887.7,2879.9,2879.355556,3407.755556,1614.639859,1011.048039,-0.005167991,-0.522087512,1,0.9,0.9,1,2887.7,3407.755556,2879.355556,2879.9,1782.039743,671.8966775,-0.291831626,-0.00081031
2045,0.85,0.9,2091.411765,3072.888889,981.2772073,0.875,2045,1.000203731,0.7,1,0.9,0.9,2434.423529,1748.4,3003.488889,3142.288889,932.9630863,1032.795824,0.60995485,-1.349626766,0.7,0.9,0.9,1,2434.423529,3142.288889,3003.488889,1748.4,1073.655601,856.8752308,-0.659303932,1.464727703
2046,0.85,0.65,1783.058824,1170.538462,622.8093117,0.75,2046,-0.983479775,0.8,0.9,0.7,0.6,1632.811765,1933.305882,1266.761538,1074.315385,487.0269475,746.6370393,-0.751601586,1.150479353,0.8,0.6,0.7,0.9,1632.811765,1074.315385,1266.761538,1933.305882,523.4347435,700.1727662,1.066983778,-0.951971251
2049,1,0.85,2212.5,3353.705882,1251.576741,0.925,2049,0.91181455,1,1,0.9,0.8,1997.9,2427.1,3963.970588,2743.441176,1582.581063,792.7012447,1.242319041,-0.399067339,1,0.8,0.9,1,1997.9,2743.441176,3963.970588,2427.1,761.8404838,1508.915502,-0.978605354,1.018526608
2052,1,0.95,1966.85,1900.421053,565.3515637,0.975,2052,-0.117500245,1,1,1,0.9,1996.2,1937.5,1965.8,1835.042105,642.2222111,488.7685653,-0.047335641,0.209624559,1,0.9,1,1,1996.2,1835.042105,1965.8,1937.5,410.6467192,697.6769178,0.392449001,0.040563188
2053,0.95,0.6,2462.157895,2320.583333,771.9818154,0.775,2053,-0.183391057,0.9,1,0.5,0.7,2903.115789,2021.2,2217.191667,2423.975,942.1929154,524.9535878,-0.728008152,-0.767258305,0.9,0.7,0.5,1,2903.115789,2423.975,2217.191667,2021.2,919.3486288,471.2961095,0.521174204,0.415856746
2054,0.85,0.85,1718.823529,1327.294118,427.3510178,0.85,2054,-0.916177558,0.9,0.8,1,0.7,1685.582353,1752.064706,1087.7,1566.888235,410.0127905,409.3664261,-1.458204151,0.452348944,0.9,0.7,1,0.8,1685.582353,1566.888235,1087.7,1752.064706,350.1648268,479.4195354,0.33896642,-1.38576895
2057,0.95,0.95,1781,2073.210526,471.3544878,0.95,2057,0.619937932,0.9,1,1,0.9,1742.5,1819.5,2118.5,2027.921053,548.417676,394.0270566,0.685608828,-0.528951119,0.9,0.9,1,1,1742.5,2027.921053,2118.5,1819.5,433.0195277,514.6285324,-0.659141296,0.581001599
2059,0.7,1,2192.428571,2587.8,766.0755184,0.85,2059,0.516099809,1,0.4,1,1,2006.7,2378.157143,2464.1,2711.5,844.0051384,664.7511242,0.541939829,-0.501455124,1,1,1,0.4,2006.7,2711.5,2464.1,2378.157143,834.2462655,711.7861542,-0.844834468,0.120742524
2062,1,0.95,2197.55,3038.157895,827.6249894,0.975,2062,1.015686942,1,1,1,0.9,2224.7,2170.4,3057.3,3019.015789,889.508084,783.3418362,0.936022972,-1.083327547,1,0.9,1,1,2224.7,3019.015789,3057.3,2170.4,779.8956067,893.1439016,-1.018489888,0.993009075
2063,0.95,1,1874.842105,2226.5,770.7770684,0.975,2063,0.456238138,1,0.9,1,1,1712.2,2037.484211,2088.3,2364.7,447.1805093,985.8284468,0.84104739,-0.331919606,1,1,1,0.9,1712.2,2364.7,2088.3,2037.484211,916.0836249,616.3920984,-0.712271219,0.082440689
2064,1,1,2012.15,2331.9,432.6188283,1,2064,0.739103292,1,1,1,1,2110.4,1913.9,2286.1,2377.7,345.7910648,512.9807219,0.508110295,-0.904127544,1,1,1,1,2110.4,2377.7,2286.1,1913.9,455.107908,407.5832495,-0.587333235,0.913187675
2065,0.95,0.9,2039.052632,2400.944444,661.8032618,0.925,2065,0.54682688,1,0.9,1,0.8,2037.4,2040.705263,2570.7,2231.188889,772.8648329,535.5612822,0.690030103,-0.355671017,1,0.8,1,0.9,2037.4,2231.188889,2570.7,2040.705263,564.5170707,751.5821953,-0.343282602,0.705172023
2067,1,1,2390.5,2820.05,1061.228122,1,2067,0.404766884,1,1,1,1,2216.8,2564.2,3056.4,2583.7,1027.40882,1119.843526,0.817201472,-0.017413147,1,1,1,1,2216.8,2583.7,3056.4,2564.2,773.3198341,1274.819744,-0.474447937,0.386093801
2070,1,1,2697.95,2304.2,847.2002575,1,2070,-0.464766148,1,1,1,1,2722.7,2673.2,2193.2,2415.2,939.7410324,765.6659021,-0.563453102,0.33696159,1,1,1,1,2722.7,2415.2,2193.2,2673.2,938.5294474,763.3716485,0.327640226,-0.628789399
2071,0.95,0.9,2546.105263,3394.722222,1452.169754,0.925,2071,0.584378621,0.9,1,0.8,1,2711.510526,2380.7,2915.444444,3874,799.527911,1907.219946,0.255067916,-0.782972097,0.9,1,0.8,1,2711.510526,3874,2915.444444,2380.7,1912.632308,672.0681376,-0.607795586,0.795669984
2073,0.95,0.85,2283.263158,2008.294118,802.9865239,0.9,2073,-0.342432945,1,0.9,0.9,0.8,2071.2,2495.326316,2157.829412,1858.758824,711.1965616,903.134867,0.121807973,0.704842118,1,0.8,0.9,0.9,2071.2,1858.758824,2157.829412,2495.326316,778.2291556,805.6380533,0.272980233,-0.418918772
2081,1,0.95,2160.4,2255.526316,785.4525022,0.975,2081,0.121110208,1,1,1,0.9,2051.2,2269.6,2112.7,2398.352632,435.4249558,1021.428672,0.14124133,-0.126051515,1,0.9,1,1,2051.2,2398.352632,2112.7,2269.6,472.1762525,1021.173849,-0.735218321,-0.153646708
2082,1,0.9,1571.55,2410.722222,673.9940414,0.95,2082,1.245073651,1,1,0.9,0.9,1612.1,1531,2625.872222,2195.572222,691.1669709,648.321801,1.466754438,-1.025065363,1,0.9,0.9,1,1612.1,2195.572222,2625.872222,1531,664.4160425,689.1670897,-0.878172989,1.588689069
2085,0.95,1,1671.210526,1723.5,388.0251131,0.975,2085,0.134757963,0.9,1,1,1,1855.821053,1486.6,1732.1,1714.9,459.9888571,278.9517738,-0.268965325,-0.818421037,0.9,1,1,1,1855.821053,1714.9,1732.1,1486.6,422.8985473,337.495306,0.333226618,0.727417524
2086,0.95,1,2259.157895,2634.15,982.3105398,0.975,2086,0.381744968,1,0.9,1,1,2285,2233.315789,2612.4,2655.9,1163.896817,791.1949062,0.281296413,-0.534108861,1,1,1,0.9,2285,2655.9,2612.4,2233.315789,895.0790306,1085.493165,-0.414376817,0.349227635
2087,0.95,0.85,1438.526316,1936,511.8750198,0.9,2087,0.971865524,0.9,1,0.8,0.9,1492.252632,1384.8,1918.2,1953.8,505.0208021,531.1281043,0.843425393,-1.071304635,0.9,0.9,0.8,1,1492.252632,1953.8,1918.2,1384.8,532.196257,501.8933101,-0.867250309,1.062775672
2088,0.6,0.95,1576.166667,2315.210526,710.3247558,0.775,2088,1.040430949,0.6,0.6,1,0.9,1608.866667,1543.466667,2476.2,2154.221053,848.8732808,543.4588,1.021746535,-1.123828312,0.6,0.9,1,0.6,1608.866667,2154.221053,2476.2,1543.466667,534.5207548,860.9899715,-1.020267934,1.083326594
2092,1,1,2399.526316,2352.7,771.335304,1,2092,-0.060708119,1,1,1,1,2095.5,2737.333333,2442.5,2262.9,664.1762607,874.3631467,0.522451675,0.542604449,1,1,1,1,2095.5,2262.9,2442.5,2737.333333,506.4205242,947.3213853,-0.330555323,-0.311228415
2093,1,1,2274.8,2497.65,700.5442019,1,2093,0.318109834,1,1,1,1,2601.5,1948.1,2616.8,2378.5,815.2404408,487.9700271,0.018767469,-0.882021387,1,1,1,1,2601.5,2378.5,2616.8,1948.1,834.5379434,536.8689417,0.267213734,1.245555383
2099,0.7,0.8,1917.857143,2085.6875,528.0877802,0.75,2099,0.317807689,0.7,0.7,0.9,0.7,1834.357143,2001.357143,1824.26875,2347.10625,387.5704547,599.6707741,-0.02602983,-0.576564879,0.7,0.7,0.9,0.7,1834.357143,2347.10625,1824.26875,2001.357143,529.3094098,524.9781975,-0.968713379,-0.337325233
2100,0.8,0.85,2390.3125,2398.588235,661.8070141,0.825,2100,0.012504756,0.7,0.9,0.7,1,2374.59375,2406.03125,2349.676471,2447.5,561.9735209,762.2442927,-0.044338885,-0.05440349,0.7,1,0.7,0.9,2374.59375,2447.5,2349.676471,2406.03125,833.065388,452.1628606,-0.087515639,-0.124633809
2102,1,1,3299.05,3169.05,994.2867808,1,2102,-0.130746986,1,1,1,1,3791,2807.1,2893.5,3444.6,1039.628774,961.1292851,-0.863288919,-0.663282255,1,1,1,1,3791,3444.6,2893.5,2807.1,1073.148128,753.3709578,0.322788617,0.114684538
2106,1,0.9,1772.6,2230.944444,656.7096701,0.95,2106,0.697940757,1,1,1,0.8,1739.4,1805.8,2028.2,2433.688889,504.8185291,775.3011311,0.572086766,-0.809864534,1,0.8,1,1,1739.4,2433.688889,2028.2,1805.8,693.8718544,623.4149585,-1.000601025,0.356744728
2107,0.95,0.85,1770.578947,1972.941176,482.4357614,0.9,2107,0.419459429,1,0.9,1,0.7,1690.2,1850.957895,1989.2,1956.682353,437.1325344,533.3755558,0.68400308,-0.198217667,1,0.7,1,0.9,1690.2,1956.682353,1989.2,1850.957895,389.7255564,566.5130428,-0.683769254,0.244022811
2109,1,1,2521.894737,3433.052632,1300.585746,1,2109,0.700575027,1,1,1,1,2287.2,2782.666667,3484.666667,3386.6,1399.291222,1219.441601,0.855766582,-0.495254002,1,1,1,1,2287.2,3386.6,3484.666667,2782.666667,1115.661659,1497.108822,-0.985424202,0.46890379
2114,0.95,0.85,2401.842105,3560.176471,1051.666346,0.9,2114,1.101427625,1,0.9,1,0.7,2663.8,2139.884211,3889.6,3230.752941,1212.462397,784.9078366,1.011000426,-1.389804866,1,0.7,1,0.9,2663.8,3230.752941,3889.6,2139.884211,722.7811281,1321.13841,-0.784404738,1.32440006
2120,0.95,0.95,1966.473684,2319.315789,587.1621092,0.95,2120,0.600927921,1,0.9,1,0.9,1929.4,2003.547368,2549.9,2088.731579,607.228239,565.0037059,1.021856297,-0.150767525,1,0.9,1,0.9,1929.4,2088.731579,2549.9,2003.547368,495.3907975,651.5721096,-0.321628056,0.838514454
2129,0.95,0.95,2164.105263,2408.210526,908.6998989,0.95,2129,0.268631331,0.9,1,0.9,1,2467.810526,1860.4,2418.521053,2397.9,1097.153663,662.7871195,-0.044924859,-0.81096929,0.9,1,0.9,1,2467.810526,2397.9,2418.521053,1860.4,1071.942653,707.5056282,0.065218532,0.788857403
3021,0.95,0.85,1750.912281,2420,948.9249744,0.9,3021,0.705100759,1,0.9,0.9,0.8,1610.5,1906.925926,2533.1,2306.9,1144.852994,718.5654352,0.805867657,-0.556628603,1,0.8,0.9,0.9,1610.5,2306.9,2533.1,1906.925926,705.0189322,1155.218879,-0.987774893,0.542039336
3023,0.95,0.85,1225.368421,1827.647059,461.4519415,0.9,3023,1.305181718,0.9,1,0.9,0.8,1271.236842,1179.5,1791.864706,1863.429412,443.3071926,490.4163923,1.174417813,-1.394589216,0.9,0.8,0.9,1,1271.236842,1863.429412,1791.864706,1179.5,454.8520115,476.1132492,-1.301945588,1.28617447
3027,1,0.95,1834.95,2653.894737,818.6725584,0.975,3027,1.000332463,1,1,0.9,1,1617.4,2052.5,2570.889474,2736.9,780.4169162,848.0153363,1.221769357,-0.807060876,1,1,0.9,1,1617.4,2736.9,2570.889474,2052.5,935.9824714,700.0955629,-1.196069407,0.740455305
3028,0.8,0.75,2603,2340.533333,1403.183991,0.775,3028,-0.187050785,0.8,0.8,0.8,0.7,3143.5,2062.5,2636.506667,2044.56,1693.90962,896.6001466,-0.299303651,0.020008919,0.8,0.7,0.8,0.8,3143.5,2044.56,2636.506667,2062.5,1702.47348,1054.320717,0.645496105,0.544432693
3031,0.75,0.7,1740.6,2175.071429,594.9333242,0.725,3031,0.730285918,0.6,0.9,0.8,0.6,1927.54,1553.66,1923.014286,2427.128571,583.0352676,619.9662973,-0.007762334,-1.408896863,0.6,0.6,0.8,0.9,1927.54,2427.128571,1923.014286,1553.66,502.5988503,610.3143864,-0.994010573,0.605186923
3037,0.95,0.95,2095.157895,2602.467836,1042.489405,0.95,3037,0.486633187,1,0.9,0.9,1,2012.5,2177.815789,2765.765432,2455.5,1173.271825,931.6816878,0.64202124,-0.298046226,1,1,0.9,0.9,2012.5,2455.5,2765.765432,2177.815789,1068.080571,1031.209948,-0.414762718,0.570155131
3038,0.95,0.85,2243.631579,3090.117647,996.5717237,0.9,3038,0.849398039,0.9,1,0.8,0.9,2391.063158,2096.2,3307.223529,2873.011765,1035.278044,947.0165135,0.884941371,-0.820272671,0.9,0.9,0.8,1,2391.063158,2873.011765,3307.223529,2096.2,941.7615292,1071.966392,-0.511752277,1.129721546
3039,0.95,0.9,1586.473684,2140.611111,618.9683703,0.925,3039,0.895259683,1,0.9,0.9,0.9,1649.1,1523.847368,1967.161111,2314.061111,461.4206786,753.017131,0.689308316,-1.049396767,1,0.9,0.9,0.9,1649.1,2314.061111,1967.161111,1523.847368,723.7158124,483.0225373,-0.918815231,0.917791011
3040,0.95,1,2072.842105,2386.5,727.6236044,0.975,3040,0.431071632,0.9,1,1,1,2043.984211,2101.7,2579.2,2193.8,883.8175619,539.8844784,0.605572703,-0.17059205,0.9,1,1,1,2043.984211,2193.8,2579.2,2101.7,546.6257412,872.984444,-0.274073792,0.546974237
3049,1,0.9,1944.15,2686.333333,1340.924648,0.95,3049,0.553486234,1,1,1,0.8,1907.4,1980.9,2914.2,2458.466667,1811.602013,624.2337008,0.555751204,-0.765044672,1,0.8,1,1,1907.4,2458.466667,2914.2,1980.9,720.9005625,1770.379129,-0.764414255,0.527175216
3054,0.8,0.75,2315.0625,2519.066667,744.1938139,0.775,3054,0.274127738,0.7,0.9,0.7,0.8,2656.71875,1973.40625,2714.02,2324.113333,835.4295191,536.0060524,0.06858897,-0.654296872,0.7,0.8,0.7,0.9,2656.71875,2324.113333,2714.02,1973.40625,545.5659865,909.8505588,0.60965204,0.813994939
3056,1,1,1411.55,1588.05,326.1223775,1,3056,0.541207878,1,1,1,1,1532.4,1290.7,1651.8,1524.3,370.8797365,250.6434876,0.321937243,-0.932001075,1,1,1,1,1532.4,1524.3,1651.8,1290.7,327.2517581,330.9071861,0.024751586,1.091242545
3063,0.9,0.85,1719.722222,2348.117647,502.6191777,0.875,3063,1.25024164,1,0.8,0.8,0.9,1569.9,1869.544444,2282.423529,2413.811765,480.6849878,512.8783305,1.482308679,-1.06120163,1,0.9,0.8,0.8,1569.9,2413.811765,2282.423529,1869.544444,608.1886118,380.6964347,-1.38758232,1.084536253
3067,0.8,0.8,1682.3125,1590.0625,490.8611219,0.8,3067,-0.187935031,0.7,0.9,0.7,0.9,1643.69375,1720.93125,1610.61875,1569.50625,531.7802804,460.0093474,-0.06219674,0.329178094,0.7,0.9,0.7,0.9,1643.69375,1569.50625,1610.61875,1720.93125,519.1265233,472.4777687,0.142908321,-0.233476594
3073,1,1,2332.65,2905.25,1094.775728,1,3073,0.523029498,1,1,1,1,2252,2413.3,3053.2,2757.3,1149.003568,1066.562461,0.697299836,-0.322531509,1,1,1,1,2252,2757.3,3053.2,2413.3,865.5234057,1297.502819,-0.583808591,0.493178119
3076,1,1,1993.9,2378.9,647.8202821,1,3076,0.594300627,1,1,1,1,1687.8,2300,2242.1,2515.7,458.6940816,740.1267512,1.208430678,-0.291436568,1,1,1,1,1687.8,2515.7,2242.1,2300,809.3469671,437.3810184,-1.02292346,-0.132378859
3078,1,1,1715.4,2784.4,1130.373839,1,3078,0.945704831,1,1,1,1,1740.6,1690.2,2595.7,2973.1,736.9702754,1437.200395,1.16029103,-0.892638218,1,1,1,1,1740.6,2973.1,2595.7,1690.2,1397.123747,804.179312,-0.88216953,1.125992657
3080,1,1,1548.75,1840.65,343.176728,1,3080,0.850582152,1,1,1,1,1601.3,1496.2,1893.4,1787.9,406.9680286,265.1040461,0.717746799,-1.100322701,1,1,1,1,1601.3,1787.9,1893.4,1496.2,374.0314369,319.1229098,-0.498888547,1.244661501
3084,0.95,0.9,1489.368421,1731.722222,348.0384477,0.925,3084,0.696342036,1,0.9,0.9,0.9,1502.1,1476.636842,1711.772222,1751.672222,354.0224161,351.1090005,0.59225691,-0.783333323,1,0.9,0.9,0.9,1502.1,1751.672222,1711.772222,1476.636842,335.921473,367.7382751,-0.742948106,0.639409591
3089,1,1,2582.85,2524.35,888.3233934,1,3089,-0.065854395,1,1,1,1,2675.4,2490.3,2946.8,2101.9,1070.471952,578.1584103,0.253533032,0.671788204,1,1,1,1,2675.4,2101.9,2946.8,2490.3,721.737033,1020.580252,0.794610743,0.447294565
3090,0.8,0.9,1876.875,3266.611111,1525.62598,0.85,3090,0.910928451,0.8,0.8,1,0.8,1898.375,1855.375,3238.9,3294.322222,1298.697331,1758.105805,1.032207403,-0.818464519,0.8,0.8,1,0.8,1898.375,3294.322222,3238.9,1855.375,1748.036186,1311.741583,-0.798580277,1.054723749
3100,1,0.95,1717.2,1988.684211,461.2321311,0.975,3100,0.588606457,1,1,0.9,1,1516.7,1917.7,2010.968421,1966.4,454.0396716,462.3834675,1.088601838,-0.105323835,1,1,0.9,1,1516.7,1966.4,2010.968421,1917.7,461.6225931,444.3521053,-0.974172423,0.209897556
3110,1,0.9,1499,1674.111111,357.0583085,0.95,3110,0.490427213,1,1,0.9,0.9,1581.1,1416.9,1681.711111,1666.511111,426.754723,274.475731,0.235758635,-0.909410497,1,0.9,0.9,1,1581.1,1666.511111,1681.711111,1416.9,392.7523907,323.2888494,-0.217468087,0.81911613
3114,0.95,1,1269.894737,1559.9,580.5942163,0.975,3114,0.499497334,1,0.9,1,1,1199.4,1340.389474,1643.6,1476.2,515.0526289,653.1078466,0.862436138,-0.207945023,1,1,1,0.9,1199.4,1476.2,1643.6,1340.389474,338.0240726,751.7625167,-0.81887659,0.403332861
3116,0.45,0.45,2433.333333,2385,654.8190807,0.45,3116,-0.073811736,0.6,0.3,0.3,0.6,2299.833333,2566.833333,2367.7,2402.3,667.1751666,650.4247744,0.101722411,0.252962894,0.6,0.6,0.3,0.3,2299.833333,2402.3,2367.7,2566.833333,822.3708032,443.5578458,-0.124599106,-0.448945578
3120,0.9,0.75,1921.722222,2842.066667,861.3019291,0.825,3120,1.068550311,0.9,0.9,0.8,0.7,2090.872222,1752.572222,2873.513333,2810.62,857.8489762,875.0102805,0.912329714,-1.209183253,0.9,0.7,0.8,0.9,2090.872222,2810.62,2873.513333,1752.572222,848.3433419,890.5390248,-0.848415662,1.258722055
3123,1,0.95,1671.45,1952.947368,433.5264338,0.975,3123,0.649319964,1,1,0.9,1,1811.3,1531.6,2090.394737,1815.5,503.7142217,302.628046,0.554073569,-0.9381153,1,1,0.9,1,1811.3,1815.5,2090.394737,1531.6,424.3415208,453.5564176,-0.009897688,1.23202917
3128,0.85,0.85,2272.705882,2640.352941,597.0629613,0.85,3128,0.615759279,0.8,0.9,0.8,0.9,2174.741176,2370.670588,2839.170588,2441.535294,620.6479824,584.1005416,1.070541484,-0.121322787,0.8,0.9,0.8,0.9,2174.741176,2441.535294,2839.170588,2370.670588,543.3833795,624.585796,-0.490986894,0.750097109
3130,0.95,0.9,2119.315789,3456.944444,1359.145935,0.925,3130,0.984168529,0.9,1,1,0.8,1955.131579,2283.5,3886.4,3027.488889,1732.064079,868.7337093,1.1150098,-0.856406147,0.9,0.8,1,1,1955.131579,3027.488889,3886.4,2283.5,837.9505251,1704.154165,-1.279738216,0.940583917
3131,1,0.9,1684.45,2512.777778,718.7588864,0.95,3131,1.15244179,1,1,0.9,0.9,1733.2,1635.7,2498.377778,2527.177778,709.6952168,745.7416371,1.078178012,-1.195424438,1,0.9,0.9,1,1733.2,2527.177778,2498.377778,1635.7,698.8344098,754.9506361,-1.136145797,1.142694286
3132,1,1,1518.4,2372.35,864.0534376,1,3132,0.98830693,1,1,1,1,1546.3,1490.5,2250.9,2493.8,834.6416439,911.7225614,0.844194638,-1.100444414,1,1,1,1,1546.3,2493.8,2250.9,1490.5,912.3090125,829.7128292,-1.038573539,0.916461664
3133,0.95,0.9,1593.421053,2193.722222,970.0053025,0.925,3133,0.618863802,0.9,1,1,0.8,1689.642105,1497.2,2225.8,2161.644444,1238.893123,622.7539868,0.432771709,-1.066945308,0.9,0.8,1,1,1689.642105,2161.644444,2225.8,1497.2,594.8601157,1255.116791,-0.793467786,0.580503747
