Subject,ACC_congruent,ACC_incongruent,RT_congruent,RT_incongruent,SD,ACC_Total,D,ACC_congruent_Chinese,ACC_congruent_Other,ACC_incongruent_Chinese,ACC_incongruent_Other,RT_congruent_Chinese,RT_congruent_Other,RT_incongruent_Chinese,RT_incongruent_Other,SD_Chinese,SD_Other,D_pro_Chinese,D_anti_Other,ACC_pleasant_Chinese,ACC_pleasant_Other,ACC_unpleasant_Chinese,ACC_unpleasant_Other,RT_pleasant_Chinese,RT_pleasant_Other,RT_unpleasant_Chinese,RT_unpleasant_Other,SD_pleasant,SD_unpleasant,D_pleasant,D_unpleasant
2001,0.95,1,2687.105263,2721.2,1703.012214,0.975,0.020020254,1,0.9,1,1,2486.6,2887.610526,1960.2,3482.2,855.3386772,2175.997883,-0.615428735,-0.273249105,1,1,1,0.9,2486.6,3482.2,1960.2,2887.610526,2128.134231,1121.983188,-0.467827633,-0.826581482
2004,0.9,0.8,2216.388889,3384.8125,808.7850982,0.85,1.444665108,0.8,1,0.7,0.9,2260.677778,2172.1,3554.74375,3214.88125,790.4047486,832.9479582,1.63721938,-1.251916449,0.8,0.9,0.7,1,2260.677778,3214.88125,3554.74375,2172.1,795.8594739,837.2538537,-1.198959745,1.651403268
2010,1,0.95,3195.7,5097.789474,1724.529077,0.975,1.102961671,1,1,0.9,1,3428.5,2962.9,5301.978947,4893.6,1671.280588,1791.882658,1.120984089,-1.077470107,1,1,0.9,1,3428.5,4893.6,5301.978947,2962.9,1550.877357,1923.24622,-0.944691077,1.216213984
2013,1,1,1398.45,1601.4,394.0738176,1,0.515005034,1,1,1,1,1466.4,1330.5,1602.8,1600,383.2152618,411.5537792,0.35593572,-0.65483544,1,1,1,1,1466.4,1600,1602.8,1330.5,386.7525525,408.4766662,-0.345440513,0.666623145
2014,0.95,0.9,2033.894737,1841.777778,1282.632311,0.925,-0.149783346,0.9,1,0.8,1,2653.989474,1413.8,1879.255556,1804.3,1724.015922,420.7935455,-0.449377473,-0.928008531,0.9,1,0.8,1,2653.989474,1804.3,1879.255556,1413.8,1739.708379,414.2930126,0.48840914,1.123493618
2018,1,1,2097.75,2274.75,607.2557333,1,0.291475223,1,1,1,1,2402.2,1793.3,2221.8,2327.7,673.1166318,520.1449697,-0.268007046,-1.027405879,1,1,1,1,2402.2,2327.7,2221.8,1793.3,683.8913791,471.1594294,0.108935428,0.909458611
2021,0.95,1,1608.842105,1806.45,523.8873503,0.975,0.377195393,0.9,1,1,1,1611.284211,1606.4,1821.9,1791,639.3679775,392.9391409,0.329412477,-0.469792853,0.9,1,1,1,1611.284211,1791,1821.9,1606.4,538.464663,522.8076304,-0.333755958,0.412197503
2022,0.95,1,2001.894737,2377.3,635.9309974,0.975,0.590323895,0.9,1,1,1,2057.489474,1946.3,2162.7,2591.9,632.2746975,645.7732941,0.166400026,-0.999731649,0.9,1,1,1,2057.489474,2591.9,2162.7,1946.3,764.3017504,455.5438046,-0.699214055,0.475036644
2024,1,0.95,2532.95,3515.368421,1145.180368,0.975,0.857872217,1,1,0.9,1,2658.3,2407.6,4052.036842,2978.7,1342.563582,811.6370251,1.038116079,-0.70363966,1,1,0.9,1,2658.3,2978.7,4052.036842,2407.6,796.6276618,1402.939761,-0.402195424,1.172136458
2025,1,0.85,2683.85,3193.941176,1399.180874,0.925,0.364564143,1,1,0.8,0.9,2711.8,2655.9,3416.488235,2971.394118,1481.366013,1338.275202,0.475701636,-0.235746816,1,0.9,0.8,1,2711.8,2971.394118,3416.488235,2655.9,1301.530543,1518.070869,-0.199452959,0.501022878
