Subject,ExperimentName,ACC_congruent,ACC_incongruent,RT_congruent,RT_incongruent,SD,ACC_Total,D,ACC_congruent_1,ACC_congruent_2,ACC_incongruent_1,ACC_incongruent_2,RT_congruent_1,RT_congruent_2,RT_incongruent_1,RT_incongruent_2
2001,(2)PSIAT_b&c_ForChinese,1,1,1939.25,3026.2,1695.776488,1,0.640974803,1,1,1,1,1785,2093.5,2694.9,3357.5
2004,(2)PSIAT_b&c_ForChinese,0.85,0.7,2368.235294,1987.785714,554.1850159,0.775,-0.686502826,0.9,0.8,0.5,0.9,2244.623529,2491.847059,1994.392857,1981.178571
2013,(2)PSIAT_b&c_ForChinese,1,0.95,1605.55,1996.210526,689.7079013,0.975,0.566414457,1,1,0.9,1,1589.8,1621.3,2311.821053,1680.6
2014,(2)PSIAT_b&c_ForChinese,0.95,0.8,1743,3142.3125,1327.930008,0.875,1.053754709,1,0.9,0.7,0.9,1751.9,1734.1,2571.59375,3713.03125
2018,(2)PSIAT_b&c_ForChinese,0.9,0.75,1766,2668.6,675.6776124,0.825,1.335844171,0.9,0.9,0.7,0.8,1902.3,1629.7,2765.18,2572.02
2021,(2)PSIAT_b&c_ForChinese,0.9,0.9,1580.277778,2257.944444,770.3447058,0.9,0.879692768,1,0.8,0.9,0.9,1506.3,1654.255556,2112.394444,2403.494444
2022,(2)PSIAT_b&c_ForChinese,0.85,0.85,2314.411765,2887.411765,875.3026471,0.85,0.654630718,0.9,0.8,0.9,0.8,2244.641176,2384.182353,2843.941176,2930.882353
2023,(2)PSIAT_b&c_ForChinese,0.8,0.8,4005.875,3242.115789,1486.873851,0.8,-0.513667794,0.7,0.9,0.7,0.9,4416.1625,3595.5875,3489.155556,3019.78
2024,(2)PSIAT_b&c_ForChinese,0.75,1,3677.8,3841.473684,1729.521176,0.875,0.094635259,0.8,0.7,1,1,3513.86,3841.74,3571.111111,4084.8
2025,(2)PSIAT_b&c_ForChinese,0.9,0.9,2133.722222,3024.523392,864.7339115,0.9,1.030144832,0.9,0.9,1,0.8,2036.472222,2230.972222,3052.4,2993.549383
2026,(2)PSIAT_b&c_ForChinese,0.95,1,3429,3878.0625,1744.214688,0.975,0.257458272,0.9,1,1,1,3662.4,3195.6,4699.333333,3385.3
2027,(2)PSIAT_b&c_ForChinese,1,1,2439.05,2686.95,1023.973908,1,0.242096012,1,1,1,1,2780.9,2097.2,2725.9,2648
2028,(2)PSIAT_b&c_ForChinese,1,1,5130.058824,4041.789474,2171.835929,1,-0.501082672,1,1,1,1,5000.777778,5275.5,4927.222222,3244.9
2030,(2)PSIAT_b&c_ForChinese,1,0.95,2638.5,3357.789474,1183.10831,0.975,0.607965871,1,1,0.9,1,2525,2752,3366.578947,3349
2036,(2)PSIAT_b&c_ForChinese,0.85,0.8,3770.764706,3084.6875,1002.783534,0.825,-0.684172788,0.8,0.9,0.8,0.8,3550.352941,3991.176471,2610.0375,3559.3375
2043,(2)PSIAT_b&c_ForChinese,0.7,0.8,2332.142857,2771.315789,905.743078,0.75,0.484875836,0.8,0.6,0.7,0.9,2476.028571,2188.257143,2990.444444,2574.1
2044,(2)PSIAT_b&c_ForChinese,0.6,0.8,3876.352941,4433.382353,1543.404719,0.7,0.360909491,0.5,0.7,0.7,0.9,3624,4100.666667,5514.857143,3676.35
2045,(2)PSIAT_b&c_ForChinese,0.85,0.9,2091.411765,3072.888889,981.2772073,0.875,1.000203731,0.7,1,0.9,0.9,2434.423529,1748.4,3003.488889,3142.288889
2046,(2)PSIAT_b&c_ForChinese,0.9,0.7,1843.222222,2277,567.265793,0.8,0.764681712,1,0.8,0.8,0.6,1540.6,2145.844444,2229.8,2324.2
2049,(2)PSIAT_b&c_ForChinese,0.85,0.75,2869.117647,4098.533333,1218.109388,0.8,1.009281841,0.9,0.8,0.9,0.6,2796.211765,2942.023529,4345.153333,3851.913333
2052,(2)PSIAT_b&c_ForChinese,0.9,0.95,2920.166667,2523.894737,971.670155,0.925,-0.407825565,0.8,1,1,0.9,3132.133333,2708.2,2628.1,2419.689474
2053,(2)PSIAT_b&c_ForChinese,0.95,0.6,2462.157895,2320.583333,771.9818154,0.775,-0.183391057,0.9,1,0.5,0.7,2903.115789,2021.2,2217.191667,2423.975
2054,(2)PSIAT_b&c_ForChinese,1,1,1622.05,1662.1,703.3960983,1,0.056938047,1,1,1,1,1727.2,1516.9,1462.1,1862.1
2057,(2)PSIAT_b&c_ForChinese,1,1,1826.5,2113.35,464.2465297,1,0.617882917,1,1,1,1,1869.9,1783.1,1983.1,2243.6
2058,(2)PSIAT_b&c_ForChinese,0.75,0.75,1572.066667,2249.533333,870.1570373,0.75,0.778556786,0.9,0.6,0.9,0.6,1464.806667,1679.326667,2030.753333,2468.313333
2059,(2)PSIAT_b&c_ForChinese,0.8,0.9,2215.625,2628.5,756.4014655,0.85,0.545841089,1,0.6,0.9,0.9,2030.8,2400.45,2406.15,2850.85
2062,(2)PSIAT_b&c_ForChinese,0.8,0.95,4722.97619,1365.473684,2345.037463,0.875,-1.431747919,0.9,0.7,1,0.9,4400.164286,5126.491071,1419.8,1311.147368
2063,(2)PSIAT_b&c_ForChinese,1,1,1655.55,2126.45,534.7256186,1,0.880638562,1,1,1,1,1631.8,1679.3,2189.8,2063.1
2064,(2)PSIAT_b&c_ForChinese,0.95,1,2245.368421,2605.45,640.3707021,0.975,0.56230177,0.9,1,1,1,2076.736842,2414,2989,2221.9
2065,(2)PSIAT_b&c_ForChinese,0.95,0.95,2178.789474,2657.526316,1026.775455,0.95,0.466252714,1,0.9,0.9,1,2278.8,2078.778947,2260.752632,3054.3
2067,(2)PSIAT_b&c_ForChinese,1,0.95,2598.1,2472.526316,697.5219147,0.975,-0.1800283,1,1,0.9,1,2757.4,2438.8,2648.652632,2296.4
2070,(2)PSIAT_b&c_ForChinese,1,1,2899.65,3003.25,919.8250656,1,0.112630112,1,1,1,1,2640.9,3158.4,3049.5,2957
2071,(2)PSIAT_b&c_ForChinese,0.9,0.95,2157.833333,3062.526316,908.0967016,0.925,0.99625181,0.9,0.9,1,0.9,2297.983333,2017.683333,2842.5,3282.552632
